datetime,units,updated_at,value,variable
2022-12-31T17:00:43Z,w,2022-12-31T17:30:03Z,0.0,pv_1_pac
2022-12-31T16:55:43Z,w,2022-12-31T17:30:03Z,0.0,pv_1_pac
2022-12-31T16:50:43Z,w,2022-12-31T17:30:03Z,0.0,pv_1_pac
2022-12-31T16:45:43Z,w,2022-12-31T17:00:04Z,2.125,pv_1_pac
2022-12-31T16:40:43Z,w,2022-12-31T17:00:04Z,3.875,pv_1_pac
2022-12-31T16:35:43Z,w,2022-12-31T17:00:04Z,2.285714,pv_1_pac
2022-12-31T16:30:43Z,w,2022-12-31T17:00:04Z,4.625,pv_1_pac
2022-12-31T16:25:43Z,w,2022-12-31T17:00:04Z,7.25,pv_1_pac
2022-12-31T16:20:43Z,w,2022-12-31T16:30:04Z,3.0,pv_1_pac
2022-12-31T16:15:43Z,w,2022-12-31T16:30:04Z,4.75,pv_1_pac
2022-12-31T16:10:43Z,w,2022-12-31T16:30:04Z,3.142857,pv_1_pac
2022-12-31T16:05:43Z,w,2022-12-31T16:30:04Z,4.875,pv_1_pac
2022-12-31T16:00:43Z,w,2022-12-31T16:30:04Z,2.0,pv_1_pac
2022-12-31T15:55:43Z,w,2022-12-31T16:30:04Z,5.571429,pv_1_pac
2022-12-31T15:50:43Z,w,2022-12-31T16:30:04Z,10.625,pv_1_pac
2022-12-31T15:45:43Z,w,2022-12-31T16:00:03Z,15.5,pv_1_pac
2022-12-31T15:40:43Z,w,2022-12-31T16:00:03Z,26.75,pv_1_pac
2022-12-31T15:35:43Z,w,2022-12-31T16:00:03Z,33.625,pv_1_pac
2022-12-31T15:30:42Z,w,2022-12-31T16:00:03Z,40.571429,pv_1_pac
2022-12-31T15:25:42Z,w,2022-12-31T16:00:03Z,33.285714,pv_1_pac
2022-12-31T15:20:42Z,w,2022-12-31T15:30:03Z,27.875,pv_1_pac
2022-12-31T15:15:41Z,w,2022-12-31T15:30:03Z,37.25,pv_1_pac
2022-12-31T15:10:41Z,w,2022-12-31T15:30:03Z,38.0,pv_1_pac
2022-12-31T15:05:41Z,w,2022-12-31T15:30:03Z,70.625,pv_1_pac
2022-12-31T15:00:41Z,w,2022-12-31T15:30:03Z,207.25,pv_1_pac
2022-12-31T14:55:41Z,w,2022-12-31T15:30:03Z,253.285714,pv_1_pac
2022-12-31T14:50:41Z,w,2022-12-31T15:00:04Z,379.666667,pv_1_pac
2022-12-31T14:45:41Z,w,2022-12-31T15:00:04Z,380.5,pv_1_pac
2022-12-31T14:40:41Z,w,2022-12-31T15:00:04Z,274.571429,pv_1_pac
2022-12-31T14:35:41Z,w,2022-12-31T15:00:04Z,305.75,pv_1_pac
2022-12-31T14:30:42Z,w,2022-12-31T15:00:04Z,517.125,pv_1_pac
2022-12-31T14:25:43Z,w,2022-12-31T15:00:04Z,331.5,pv_1_pac
2022-12-31T14:20:42Z,w,2022-12-31T14:30:04Z,479.125,pv_1_pac
2022-12-31T14:15:42Z,w,2022-12-31T14:30:04Z,188.25,pv_1_pac
2022-12-31T14:10:42Z,w,2022-12-31T14:30:04Z,201.142857,pv_1_pac
2022-12-31T14:05:41Z,w,2022-12-31T14:30:04Z,304.375,pv_1_pac
2022-12-31T14:00:41Z,w,2022-12-31T14:30:04Z,404.375,pv_1_pac
2022-12-31T13:55:41Z,w,2022-12-31T14:30:04Z,425.428571,pv_1_pac
2022-12-31T13:50:41Z,w,2022-12-31T14:00:03Z,357.75,pv_1_pac
2022-12-31T13:45:41Z,w,2022-12-31T14:00:03Z,308.857143,pv_1_pac
2022-12-31T13:40:41Z,w,2022-12-31T14:00:03Z,534.625,pv_1_pac
2022-12-31T13:35:41Z,w,2022-12-31T14:00:03Z,1014.75,pv_1_pac
2022-12-31T13:30:41Z,w,2022-12-31T14:00:03Z,1125.571429,pv_1_pac
2022-12-31T13:25:41Z,w,2022-12-31T14:00:03Z,925.75,pv_1_pac
2022-12-31T13:20:40Z,w,2022-12-31T14:00:03Z,1174.875,pv_1_pac
2022-12-31T13:15:40Z,w,2022-12-31T13:30:04Z,1319.625,pv_1_pac
2022-12-31T13:10:40Z,w,2022-12-31T13:30:04Z,957.714286,pv_1_pac
2022-12-31T13:05:40Z,w,2022-12-31T13:30:04Z,888.875,pv_1_pac
2022-12-31T13:00:40Z,w,2022-12-31T13:30:03Z,496.875,pv_1_pac
2022-12-31T12:55:40Z,w,2022-12-31T13:00:04Z,396.625,pv_1_pac
2022-12-31T12:50:40Z,w,2022-12-31T13:00:04Z,846.0,pv_1_pac
2022-12-31T12:45:40Z,w,2022-12-31T13:00:04Z,972.428571,pv_1_pac
2022-12-31T12:40:40Z,w,2022-12-31T13:00:04Z,454.125,pv_1_pac
2022-12-31T12:35:40Z,w,2022-12-31T13:00:04Z,278.285714,pv_1_pac
2022-12-31T12:30:39Z,w,2022-12-31T13:00:04Z,150.125,pv_1_pac
2022-12-31T12:25:39Z,w,2022-12-31T13:00:04Z,80.125,pv_1_pac
2022-12-31T12:20:39Z,w,2022-12-31T12:30:04Z,54.75,pv_1_pac
2022-12-31T12:15:39Z,w,2022-12-31T12:30:04Z,98.875,pv_1_pac
2022-12-31T12:10:39Z,w,2022-12-31T12:30:04Z,148.5,pv_1_pac
2022-12-31T12:05:39Z,w,2022-12-31T12:30:04Z,137.0,pv_1_pac
2022-12-31T12:00:39Z,w,2022-12-31T12:30:04Z,127.375,pv_1_pac
2022-12-31T11:55:39Z,w,2022-12-31T12:30:04Z,112.875,pv_1_pac
2022-12-31T11:50:39Z,w,2022-12-31T12:30:04Z,148.75,pv_1_pac
2022-12-31T11:45:39Z,w,2022-12-31T12:00:04Z,101.857143,pv_1_pac
2022-12-31T11:40:39Z,w,2022-12-31T12:00:04Z,112.75,pv_1_pac
2022-12-31T11:35:39Z,w,2022-12-31T12:00:04Z,97.125,pv_1_pac
2022-12-31T11:30:40Z,w,2022-12-31T12:00:04Z,83.375,pv_1_pac
2022-12-31T11:25:40Z,w,2022-12-31T12:00:04Z,105.857143,pv_1_pac
2022-12-31T11:20:40Z,w,2022-12-31T12:00:04Z,109.375,pv_1_pac
2022-12-31T11:15:40Z,w,2022-12-31T11:30:03Z,145.0,pv_1_pac
2022-12-31T11:10:39Z,w,2022-12-31T11:30:03Z,173.875,pv_1_pac
2022-12-31T11:05:39Z,w,2022-12-31T11:30:03Z,180.875,pv_1_pac
2022-12-31T11:00:39Z,w,2022-12-31T11:30:03Z,197.625,pv_1_pac
2022-12-31T10:55:39Z,w,2022-12-31T11:30:03Z,192.375,pv_1_pac
2022-12-31T10:50:39Z,w,2022-12-31T11:30:03Z,184.875,pv_1_pac
2022-12-31T10:45:39Z,w,2022-12-31T11:00:03Z,163.428571,pv_1_pac
2022-12-31T10:40:39Z,w,2022-12-31T11:00:03Z,123.875,pv_1_pac
2022-12-31T10:35:39Z,w,2022-12-31T11:00:03Z,117.428571,pv_1_pac
2022-12-31T10:30:38Z,w,2022-12-31T11:00:03Z,132.375,pv_1_pac
2022-12-31T10:25:38Z,w,2022-12-31T11:00:03Z,144.625,pv_1_pac
2022-12-31T10:20:38Z,w,2022-12-31T11:00:03Z,140.714286,pv_1_pac
2022-12-31T10:15:38Z,w,2022-12-31T10:30:04Z,135.875,pv_1_pac
2022-12-31T10:10:38Z,w,2022-12-31T10:30:04Z,97.5,pv_1_pac
2022-12-31T10:05:38Z,w,2022-12-31T10:30:04Z,84.428571,pv_1_pac
2022-12-31T10:00:38Z,w,2022-12-31T10:30:04Z,91.25,pv_1_pac
2022-12-31T09:55:38Z,w,2022-12-31T10:30:04Z,116.875,pv_1_pac
2022-12-31T09:50:38Z,w,2022-12-31T10:00:04Z,152.0,pv_1_pac
2022-12-31T09:45:38Z,w,2022-12-31T10:00:04Z,161.25,pv_1_pac
2022-12-31T09:40:38Z,w,2022-12-31T10:00:04Z,147.0,pv_1_pac
2022-12-31T09:35:38Z,w,2022-12-31T10:00:04Z,157.0,pv_1_pac
2022-12-31T09:30:38Z,w,2022-12-31T10:00:04Z,146.875,pv_1_pac
2022-12-31T09:25:38Z,w,2022-12-31T10:00:04Z,183.25,pv_1_pac
2022-12-31T09:20:38Z,w,2022-12-31T09:30:04Z,195.571429,pv_1_pac
2022-12-31T09:15:38Z,w,2022-12-31T09:30:04Z,240.5,pv_1_pac
2022-12-31T09:10:38Z,w,2022-12-31T09:30:04Z,232.0,pv_1_pac
2022-12-31T09:05:38Z,w,2022-12-31T09:30:04Z,171.5,pv_1_pac
2022-12-31T09:00:37Z,w,2022-12-31T09:30:04Z,144.285714,pv_1_pac
2022-12-31T08:55:36Z,w,2022-12-31T09:30:04Z,142.625,pv_1_pac
2022-12-31T08:50:36Z,w,2022-12-31T09:00:04Z,82.375,pv_1_pac
2022-12-31T08:45:36Z,w,2022-12-31T09:00:04Z,74.875,pv_1_pac
2022-12-31T08:40:36Z,w,2022-12-31T09:00:04Z,106.75,pv_1_pac
2022-12-31T08:35:36Z,w,2022-12-31T09:00:04Z,78.0,pv_1_pac
2022-12-31T08:30:37Z,w,2022-12-31T09:00:04Z,51.875,pv_1_pac
2022-12-31T08:25:36Z,w,2022-12-31T09:00:04Z,46.428571,pv_1_pac
2022-12-31T08:20:36Z,w,2022-12-31T08:30:04Z,35.75,pv_1_pac
2022-12-31T08:15:36Z,w,2022-12-31T08:30:04Z,25.0,pv_1_pac
2022-12-31T08:10:36Z,w,2022-12-31T08:30:04Z,16.625,pv_1_pac
2022-12-31T08:05:36Z,w,2022-12-31T08:30:04Z,10.75,pv_1_pac
2022-12-31T08:00:36Z,w,2022-12-31T08:30:04Z,7.625,pv_1_pac
2022-12-31T07:55:36Z,w,2022-12-31T08:30:04Z,4.5,pv_1_pac
2022-12-31T07:50:36Z,w,2022-12-31T08:30:04Z,1.0,pv_1_pac
2022-12-30T17:10:32Z,w,2022-12-30T17:30:03Z,0.0,pv_1_pac
2022-12-30T17:05:32Z,w,2022-12-30T17:30:03Z,0.0,pv_1_pac
2022-12-30T17:00:32Z,w,2022-12-30T17:30:03Z,0.0,pv_1_pac
2022-12-30T16:55:32Z,w,2022-12-30T17:30:03Z,0.875,pv_1_pac
2022-12-30T16:50:32Z,w,2022-12-30T17:30:03Z,2.428571,pv_1_pac
2022-12-30T16:45:32Z,w,2022-12-30T17:00:03Z,3.125,pv_1_pac
2022-12-30T16:40:32Z,w,2022-12-30T17:00:03Z,7.857143,pv_1_pac
2022-12-30T16:35:30Z,w,2022-12-30T17:00:03Z,14.625,pv_1_pac
2022-12-30T16:30:30Z,w,2022-12-30T17:00:03Z,15.125,pv_1_pac
2022-12-30T16:25:30Z,w,2022-12-30T17:00:03Z,15.571429,pv_1_pac
2022-12-30T16:20:30Z,w,2022-12-30T16:30:04Z,19.0,pv_1_pac
2022-12-30T16:15:30Z,w,2022-12-30T16:30:04Z,32.25,pv_1_pac
2022-12-30T16:10:30Z,w,2022-12-30T16:30:04Z,28.0,pv_1_pac
2022-12-30T16:05:30Z,w,2022-12-30T16:30:04Z,23.5,pv_1_pac
2022-12-30T16:00:30Z,w,2022-12-30T16:30:04Z,31.5,pv_1_pac
2022-12-30T15:55:30Z,w,2022-12-30T16:30:04Z,26.5,pv_1_pac
2022-12-30T15:50:30Z,w,2022-12-30T16:30:04Z,21.857143,pv_1_pac
2022-12-30T15:45:30Z,w,2022-12-30T16:00:04Z,17.571429,pv_1_pac
2022-12-30T15:40:30Z,w,2022-12-30T16:00:04Z,18.111111,pv_1_pac
2022-12-30T15:35:00Z,w,2022-12-30T16:00:04Z,29.5,pv_1_pac
2022-12-30T15:30:50Z,w,2022-12-30T16:00:04Z,19.75,pv_1_pac
2022-12-30T15:25:50Z,w,2022-12-30T16:00:04Z,42.714286,pv_1_pac
2022-12-30T15:20:49Z,w,2022-12-30T16:00:04Z,46.25,pv_1_pac
2022-12-30T15:15:50Z,w,2022-12-30T15:30:03Z,45.5,pv_1_pac
2022-12-30T15:10:50Z,w,2022-12-30T15:30:03Z,39.0,pv_1_pac
2022-12-30T15:05:50Z,w,2022-12-30T15:30:03Z,86.625,pv_1_pac
2022-12-30T15:00:49Z,w,2022-12-30T15:30:03Z,106.125,pv_1_pac
2022-12-30T14:55:49Z,w,2022-12-30T15:30:03Z,68.625,pv_1_pac
2022-12-30T14:50:49Z,w,2022-12-30T15:30:03Z,48.0,pv_1_pac
2022-12-30T14:45:48Z,w,2022-12-30T15:00:04Z,62.25,pv_1_pac
