zone,thermal_violation_degC_sum,mean_pred_delta_C,scenario,a,g,r2,mean_abs_pred_delta_C,inertia_class
zone1,0.0,0.0008749136227344276,low_flex,0.9887064241370256,0.002564102564102564,0.9797461915144742,0.0008749136227344276,Q3
zone2,0.0,0.0008489152622507632,low_flex,0.988358754602318,0.002564102564102564,0.9950744250127368,0.0008489152622507632,Q3
zone3,0.0,0.001103015278881808,low_flex,0.9910541854360692,0.002564102564102564,0.979649888531265,0.001103015278881808,Q3
zone4,0.0,0.0007506752142430869,low_flex,0.9868276382667047,0.002564102564102564,0.94166921774988,0.0007506752142430869,Q3
zone5,0.0,0.0002400246502943301,low_flex,0.9586886216058591,0.002564102564102564,0.8292180422838141,0.0002400246502943301,Q1 low a
zone6,0.0,0.03601350555076529,low_flex,0.8397129340499117,1.491728012421181,0.7548293168267227,0.03601350555076529,Q1 low a
zone7,0.0,0.00139989166227586,low_flex,0.9929640900332317,0.002564102564102564,0.9987619603141188,0.00139989166227586,Q4 high a
zone8,2.718109772083103,0.0008467984582180226,low_flex,0.9883295074535079,0.002564102564102564,0.9751099944335465,0.0008467984582180226,Q3
zone9,0.0,0.0005123762983268601,low_flex,0.9806749303513341,0.002564102564102564,0.9504512419974583,0.0005123762983268601,Q2
zone10,0.0,0.0005183372844377277,low_flex,0.9808978085185572,0.002564102564102564,0.9543751265330468,0.0005183372844377277,Q2
zone11,0.0,0.0005739475758547337,low_flex,0.9827540421157145,0.002564102564102564,0.9720605641305811,0.0005739475758547337,Q2
zone12,0.0,0.0003447163069058261,low_flex,0.9712498232130923,0.002564102564102564,0.9536870415645704,0.0003447163069058261,Q1 low a
zone13,47.49480569350902,0.0004617707008343785,low_flex,0.9785510881233446,0.002564102564102564,0.982235015657941,0.0004617707008343785,Q2
zone14,0.0,1.061307495958497e-07,low_flex,0.7769765992229593,6.116425161901678e-06,0.5749216407966538,1.061307495958497e-07,Q1 low a
zone15,0.0,0.001382894092060698,low_flex,0.9928768660301698,0.002564102564102564,0.9985749165914679,0.001382894092060698,Q4 high a
zone16,0.7540826351712937,0.0009004522833047642,low_flex,0.9890284032298335,0.002564102564102564,0.9772413244268265,0.0009004522833047642,Q3
zone17,0.0,0.000302337607390932,low_flex,0.9672128786669472,0.002564102564102564,0.9262685999422032,0.000302337607390932,Q1 low a
zone18,0.0,0.0003554680767402356,low_flex,0.9721209715074532,0.002564102564102564,0.9408328435115194,0.0003554680767402356,Q1 low a
zone19,0.0,0.0007071492809040883,low_flex,0.9860133014401362,0.002564102564102564,0.9696099453864734,0.0007071492809040883,Q2
zone20,30096.75641286518,0.003594417768703021,low_flex,0.9972989890133823,0.002564102564102564,0.9706079632062062,0.003594417768703021,Q4 high a
zone21,71.39356380363168,0.0004075537516041731,low_flex,0.9756906013530486,0.002564102564102564,0.9715412630619497,0.0004075537516041731,Q2
zone22,0.0,0.001383981468514726,low_flex,0.9928825100976502,0.002564102564102564,0.998182968399513,0.001383981468514726,Q4 high a
zone23,2.409629516922397,0.001028525189798517,low_flex,0.99040197352844,0.002564102564102564,0.9779240811957548,0.001028525189798517,Q3
zone24,0.0,0.0003025659980249664,low_flex,0.9672376650647065,0.002564102564102564,0.926443908305845,0.0003025659980249664,Q1 low a
zone25,0.0,0.0004252874973096633,low_flex,0.9767064784224496,0.002564102564102564,0.9431559745986838,0.0004252874973096633,Q2
zone26,0.0,0.0009108601392956517,low_flex,0.9891544430784356,0.002564102564102564,0.97125225444713,0.0009108601392956517,Q3
zone27,139722.7003595746,0.009113505334265656,low_flex,0.9989999999871677,0.002564102564102564,0.9713146975664426,0.009113505334265656,Q4 high a
zone28,59.27870926303576,0.0004340994779389439,low_flex,0.9771804105134857,0.002564102564102564,0.9786222153309306,0.0004340994779389439,Q2
zone29,0.0,0.001167164151276436,low_flex,0.9915491485714059,0.002564102564102564,0.9987011982672328,0.001167164151276436,Q4 high a
zone30,3.183668537010465,0.0009657699227150955,low_flex,0.9897744398262289,0.002564102564102564,0.9769254489592188,0.0009657699227150955,Q3
zone31,0.0,0.0003060087389795377,low_flex,0.9676068116942423,0.002564102564102564,0.9268276907834191,0.0003060087389795377,Q1 low a
zone32,0.0,0.0003959127634946951,low_flex,0.9749742821292341,0.002564102564102564,0.9379497539046324,0.0003959127634946951,Q1 low a
zone33,0.0,0.0008013188029451211,low_flex,0.9876638147781285,0.002564102564102564,0.9690591709748582,0.0008013188029451211,Q3
zone34,92704.85010896981,0.006826343716767923,low_flex,0.9986208164382541,0.002564102564102564,0.9695785031198059,0.006826343716767923,Q4 high a
zone35,41.53309178084423,0.0004806636079806703,low_flex,0.9793962969226786,0.002564102564102564,0.9851225414000045,0.0004806636079806703,Q2
zone36,0.0,0.002386661321604653,low_flex,0.995898580827342,0.002564102564102564,0.9995319084584396,0.002386661321604653,Q4 high a
zone37,0.0,0.005518970587682146,low_flex,0.9982694030481855,0.002564102564102564,0.9994704636228334,0.005518970587682146,Q4 high a
zone38,0.0,0.0,low_flex,0.9636325247317824,4.277383673507924,0.9641412254973329,0.0,Q1 low a
zone39,25.69537099495014,0.0004088592403329335,low_flex,0.975768390453267,0.002564102564102564,0.9102666449656087,0.0004088592403329335,Q2
zone40,0.0,0.001405536790273705,low_flex,0.992992591759888,0.002564102564102564,0.9982659984267062,0.001405536790273705,Q4 high a
zone1,0.0,0.001749827245472512,medium_flex,0.9887064241370256,0.002564102564102564,0.9797461915144742,0.001749827245472512,Q3
zone2,0.0,0.001697830524497668,medium_flex,0.988358754602318,0.002564102564102564,0.9950744250127368,0.001697830524497668,Q3
zone3,0.0,0.002206030557764807,medium_flex,0.9910541854360692,0.002564102564102564,0.979649888531265,0.002206030557764807,Q3
zone4,0.0,0.001501350428485746,medium_flex,0.9868276382667047,0.002564102564102564,0.94166921774988,0.001501350428485746,Q3
zone5,0.0,0.0004800493005895864,medium_flex,0.9586886216058591,0.002564102564102564,0.8292180422838141,0.0004800493005895864,Q1 low a
zone6,0.0,0.07202701110153079,medium_flex,0.8397129340499117,1.491728012421181,0.7548293168267227,0.07202701110153079,Q1 low a
zone7,0.0,0.002799783324550005,medium_flex,0.9929640900332317,0.002564102564102564,0.9987619603141188,0.002799783324550005,Q4 high a
zone8,0.0,0.001693596916435716,medium_flex,0.9883295074535079,0.002564102564102564,0.9751099944335465,0.001693596916435716,Q3
zone9,0.0,0.001024752596652406,medium_flex,0.9806749303513341,0.002564102564102564,0.9504512419974583,0.001024752596652406,Q2
zone10,0.0,0.001036674568876527,medium_flex,0.9808978085185572,0.002564102564102564,0.9543751265330468,0.001036674568876527,Q2
zone11,0.0,0.001147895151707394,medium_flex,0.9827540421157145,0.002564102564102564,0.9720605641305811,0.001147895151707394,Q2
zone12,0.0,0.0006894326138113171,medium_flex,0.9712498232130923,0.002564102564102564,0.9536870415645704,0.0006894326138113171,Q1 low a
zone13,2.674338806535971,0.0009235414016688023,medium_flex,0.9785510881233446,0.002564102564102564,0.982235015657941,0.0009235414016688023,Q2
zone14,0.0,2.12261499162499e-07,medium_flex,0.7769765992229593,6.116425161901678e-06,0.5749216407966538,2.12261499162499e-07,Q1 low a
zone15,0.0,0.0027657881841228,medium_flex,0.9928768660301698,0.002564102564102564,0.9985749165914679,0.0027657881841228,Q4 high a
zone16,0.0,0.001800904566606717,medium_flex,0.9890284032298335,0.002564102564102564,0.9772413244268265,0.001800904566606717,Q3
zone17,0.0,0.0006046752147817334,medium_flex,0.9672128786669472,0.002564102564102564,0.9262685999422032,0.0006046752147817334,Q1 low a
zone18,0.0,0.0007109361534793288,medium_flex,0.9721209715074532,0.002564102564102564,0.9408328435115194,0.0007109361534793288,Q1 low a
zone19,0.0,0.001414298561807895,medium_flex,0.9860133014401362,0.002564102564102564,0.9696099453864734,0.001414298561807895,Q2
zone20,25763.81566642405,0.007188835537402382,medium_flex,0.9972989890133823,0.002564102564102564,0.9706079632062062,0.007188835537402382,Q4 high a
zone21,9.404593265310972,0.0008151075032057933,medium_flex,0.9756906013530486,0.002564102564102564,0.9715412630619497,0.0008151075032057933,Q2
zone22,0.0,0.002767962937026699,medium_flex,0.9928825100976502,0.002564102564102564,0.998182968399513,0.002767962937026699,Q4 high a
zone23,0.0,0.002057050379589528,medium_flex,0.99040197352844,0.002564102564102564,0.9779240811957548,0.002057050379589528,Q3
zone24,0.0,0.000605131996049337,medium_flex,0.9672376650647065,0.002564102564102564,0.926443908305845,0.000605131996049337,Q1 low a
zone25,0.0,0.0008505749946189478,medium_flex,0.9767064784224496,0.002564102564102564,0.9431559745986838,0.0008505749946189478,Q2
zone26,0.0,0.001821720278587673,medium_flex,0.9891544430784356,0.002564102564102564,0.97125225444713,0.001821720278587673,Q3
zone27,135334.0254001445,0.0182270106685213,medium_flex,0.9989999999871677,0.002564102564102564,0.9713146975664426,0.0182270106685213,Q4 high a
zone28,5.801641556627125,0.0008681989558775316,medium_flex,0.9771804105134857,0.002564102564102564,0.9786222153309306,0.0008681989558775316,Q2
zone29,0.0,0.00233432830255186,medium_flex,0.9915491485714059,0.002564102564102564,0.9987011982672328,0.00233432830255186,Q4 high a
zone30,0.0,0.001931539845429954,medium_flex,0.9897744398262289,0.002564102564102564,0.9769254489592188,0.001931539845429954,Q3
zone31,0.0,0.0006120174779589911,medium_flex,0.9676068116942423,0.002564102564102564,0.9268276907834191,0.0006120174779589911,Q1 low a
zone32,0.0,0.0007918255269886778,medium_flex,0.9749742821292341,0.002564102564102564,0.9379497539046324,0.0007918255269886778,Q1 low a
zone33,0.0,0.001602637605889546,medium_flex,0.9876638147781285,0.002564102564102564,0.9690591709748582,0.001602637605889546,Q3
zone34,88336.57146817514,0.01365268743355113,medium_flex,0.9986208164382541,0.002564102564102564,0.9695785031198059,0.01365268743355113,Q4 high a
zone35,1.562351968385428,0.0009613272159613098,medium_flex,0.9793962969226786,0.002564102564102564,0.9851225414000045,0.0009613272159613098,Q2
zone36,0.0,0.004773322643209708,medium_flex,0.995898580827342,0.002564102564102564,0.9995319084584396,0.004773322643209708,Q4 high a
zone37,0.0,0.01103794117535744,medium_flex,0.9982694030481855,0.002564102564102564,0.9994704636228334,0.01103794117535744,Q4 high a
zone38,0.0,0.0,medium_flex,0.9636325247317824,4.277383673507924,0.9641412254973329,0.0,Q1 low a
zone39,0.1662524033534929,0.0008177184806636632,medium_flex,0.975768390453267,0.002564102564102564,0.9102666449656087,0.0008177184806636632,Q2
zone40,0.0,0.00281107358054457,medium_flex,0.992992591759888,0.002564102564102564,0.9982659984267062,0.00281107358054457,Q4 high a
zone1,0.0,3.815648321767211e-06,price_response,0.9887064241370256,0.002564102564102564,0.9797461915144742,3.815648321767211e-06,Q3
zone2,0.0,3.71143383908475e-06,price_response,0.988358754602318,0.002564102564102564,0.9950744250127368,3.71143383908475e-06,Q3
zone3,0.0,4.653627797666184e-06,price_response,0.9910541854360692,0.002564102564102564,0.979649888531265,4.653627797666184e-06,Q3
zone4,4.37764858686187,3.30068724413227e-06,price_response,0.9868276382667047,0.002564102564102564,0.94166921774988,3.30068724413227e-06,Q3
zone5,0.0,7.576560243214586e-07,price_response,0.9586886216058591,0.002564102564102564,0.8292180422838141,7.576560243214586e-07,Q1 low a
zone6,0.0,3.366226277079843e-05,price_response,0.8397129340499117,1.491728012421181,0.7548293168267227,3.366226277079843e-05,Q1 low a
zone7,0.0,5.558516676720462e-06,price_response,0.9929640900332317,0.002564102564102564,0.9987619603141188,5.558516676720462e-06,Q4 high a
zone8,23.21842931673187,3.702867003013775e-06,price_response,0.9883295074535079,0.002564102564102564,0.9751099944335465,3.702867003013775e-06,Q3
zone9,0.0,2.189475599680623e-06,price_response,0.9806749303513341,0.002564102564102564,0.9504512419974583,2.189475599680623e-06,Q2
zone10,0.0,2.219261566779404e-06,price_response,0.9808978085185572,0.002564102564102564,0.9543751265330468,2.219261566779404e-06,Q2
zone11,0.0,2.492291453486821e-06,price_response,0.9827540421157145,0.002564102564102564,0.9720605641305811,2.492291453486821e-06,Q2
zone12,0.0,1.315706665797931e-06,price_response,0.9712498232130923,0.002564102564102564,0.9536870415645704,1.315706665797931e-06,Q1 low a
zone13,94.5836930053266,1.93269519101883e-06,price_response,0.9785510881233446,0.002564102564102564,0.982235015657941,1.93269519101883e-06,Q2
zone14,0.0,7.119901340242552e-11,price_response,0.7769765992229593,6.116425161901678e-06,0.5749216407966538,7.119901340242552e-11,Q1 low a
zone15,0.0,5.511815986855865e-06,price_response,0.9928768660301698,0.002564102564102564,0.9985749165914679,5.511815986855865e-06,Q4 high a
zone16,13.54602052631614,3.916228920537274e-06,price_response,0.9890284032298335,0.002564102564102564,0.9772413244268265,3.916228920537274e-06,Q3
zone17,0.0,1.087944249450189e-06,price_response,0.9672128786669472,0.002564102564102564,0.9262685999422032,1.087944249450189e-06,Q1 low a
zone18,0.0,1.373363589274414e-06,price_response,0.9721209715074532,0.002564102564102564,0.9408328435115194,1.373363589274414e-06,Q1 low a
zone19,0.0,3.109965171964901e-06,price_response,0.9860133014401362,0.002564102564102564,0.9696099453864734,3.109965171964901e-06,Q2
zone20,32283.83617033221,8.673468735354169e-06,price_response,0.9972989890133823,0.002564102564102564,0.9706079632062062,8.673468735354169e-06,Q4 high a
zone21,126.0900451215939,1.650340241386837e-06,price_response,0.9756906013530486,0.002564102564102564,0.9715412630619497,1.650340241386837e-06,Q2
zone22,0.0,5.514821010991227e-06,price_response,0.9928825100976502,0.002564102564102564,0.998182968399513,5.514821010991227e-06,Q4 high a
zone23,29.02473669397441,4.394596129122884e-06,price_response,0.99040197352844,0.002564102564102564,0.9779240811957548,4.394596129122884e-06,Q3
zone24,0.0,1.089170577222142e-06,price_response,0.9672376650647065,0.002564102564102564,0.926443908305845,1.089170577222142e-06,Q1 low a
zone25,0.0,1.743455653493847e-06,price_response,0.9767064784224496,0.002564102564102564,0.9431559745986838,1.743455653493847e-06,Q2
zone26,0.0,3.956714418312016e-06,price_response,0.9891544430784356,0.002564102564102564,0.97125225444713,3.956714418312016e-06,Q3
zone27,141962.301537925,1.533473891912618e-05,price_response,0.9989999999871677,0.002564102564102564,0.9713146975664426,1.533473891912618e-05,Q4 high a
zone28,109.7737500240213,1.789459939213337e-06,price_response,0.9771804105134857,0.002564102564102564,0.9786222153309306,1.789459939213337e-06,Q2
zone29,2.831339258331091,4.865932256592486e-06,price_response,0.9915491485714059,0.002564102564102564,0.9987011982672328,4.865932256592486e-06,Q4 high a
zone30,30.09211448700169,4.165540563024087e-06,price_response,0.9897744398262289,0.002564102564102564,0.9769254489592188,4.165540563024087e-06,Q3
