day,mean,min,max,day_of_month
2022-07-01,0.14522083333333333,0.12498999999999999,0.15469999999999998,1
2022-07-02,0.14242375,0.10925,0.17034,2
2022-07-03,0.14510458333333334,0.0912,0.19306,3
2022-07-04,0.15992333333333333,0.14383,0.176,4
2022-07-05,0.13916416666666667,0.11456999999999999,0.16358,5
2022-07-06,0.14529916666666667,0.11555,0.1745,6
2022-07-07,0.12483833333333333,0.11,0.169,7
2022-07-08,0.14673208333333335,0.12089,0.16912,8
2022-07-09,0.14862083333333334,0.1295,0.17984999999999998,9
2022-07-10,0.13862083333333333,0.11662,0.184,10
2022-07-11,0.15753833333333334,0.13506,0.19138999999999998,11
2022-07-12,0.155705,0.12355,0.2016,12
2022-07-13,0.15945,0.14,0.18631,13
2022-07-14,0.17172541666666666,0.16206,0.19,14
2022-07-15,0.1481775,0.13505,0.18400999999999998,15
2022-07-16,0.13766958333333332,0.12232,0.17615999999999998,16
2022-07-17,0.1067875,0.07809,0.17927,17
2022-07-18,0.11576791666666668,0.09126999999999999,0.15,18
2022-07-19,0.14235375,0.11849,0.18249,19
2022-07-20,0.14753750000000002,0.13747,0.15435,20
2022-07-21,0.1405625,0.11125,0.15122,21
2022-07-22,0.1334525,0.11009999999999999,0.14818,22
2022-07-23,0.15620208333333332,0.13987,0.2211,23
2022-07-24,0.14128916666666666,0.1153,0.19201,24
2022-07-25,0.15802,0.12512,0.18658000000000002,25
2022-07-26,0.14602666666666667,0.1251,0.165,26
2022-07-27,0.14825291666666665,0.12512,0.16419999999999998,27
2022-07-28,0.16986,0.15117,0.18,28
2022-07-29,0.14150625,0.119,0.161,29
2022-07-30,0.12997791666666667,0.1143,0.16378,30
2022-07-31,0.114135,0.08562,0.18303,31
