zone,min_C,p05_C,q25_C,median_C,q75_C,p95_C,max_C,mean_C,count
zone1,24.0357110139344,24.37137560558821,24.806527031821048,24.9998475360388,25.288969101630926,25.844327129917584,26.3772215728046,25.051911954172343,744
zone2,22.6872238705481,23.20368809310991,23.499731739732574,23.7849510828799,24.049162543100024,24.640030319868426,25.1164776064899,23.80250205480301,744
zone3,22.3087459233464,22.88676366301609,23.38569555199685,23.762363667314702,24.185307819504224,25.02255152876701,25.9165693037466,23.823088739904158,744
zone4,21.7465314120901,22.28806544918358,22.85897297056055,23.2252183629611,23.70404801671465,24.52584247681105,25.6379909169011,23.301531862929732,744
zone5,23.2285136685025,24.076617573684548,24.69189085131065,24.997860121581752,25.2633443840337,26.2251395119749,27.1889705289553,25.01638026372548,744
zone6,24.628646894589,25.404900168997997,26.442343324074525,27.48256647617465,29.076590490653423,42.58170004971196,46.6189845017873,28.84608389287528,744
zone7,23.6014136279387,23.76281694224079,24.042851188892726,24.28713859969475,24.537931536233025,24.925850274788278,25.1791006544837,24.300141095071506,744
zone8,23.1807305424673,23.695149132225254,24.014294534098774,24.2815570621666,24.599514494388103,24.99996888679787,25.1776113352484,24.31325977068514,744
zone9,23.6144584226016,23.857679340935945,24.263876427600998,24.7151067296964,24.998716286155002,25.186188105597605,25.899071379006,24.6361599526498,744
zone10,21.9187899531957,22.424880781204063,23.21879392481705,23.8378930961044,24.7099215836116,25.175391437888745,26.524823968627,23.90666895597493,744
zone11,23.4321151024235,23.89125041306023,24.461274187535402,24.9898033120541,25.104185777758374,25.993859226573097,27.1003251492701,24.8924050293186,744
zone12,21.6108640606731,22.129776716211722,22.980204542096974,23.72966737345515,24.655468267213976,25.36863654904399,26.6238887187313,23.782105395890163,744
zone13,22.0916888958033,22.837380330340835,23.563691227110276,23.907442798179602,24.175396873200278,24.735680893741044,25.2483937058618,23.84081383624994,744
zone14,25.0000087137141,25.000011006343804,25.000017244755277,25.0000233486233,25.000023531509125,25.00002484459643,25.0000264399902,25.00002077278081,744
zone15,23.8970742073469,24.051712060296733,24.3373360723523,24.5773548724004,24.82219522935275,25.188936814830107,25.3312953780159,24.587936443731646,744
zone16,23.3763400510353,23.90446908453788,24.213059545069598,24.45982225170015,24.764501112795475,25.02277987354254,25.2181371075861,24.478349163348554,744
zone17,23.7416920677371,23.96490716270647,24.30861097278235,24.65570019047135,24.998108492771575,25.22912821597481,25.9111104385903,24.64086805654254,744
zone18,22.4190184784254,23.14787312245087,23.813814773293398,24.23800541127875,24.837045096407977,25.382117709522184,26.4162292163607,24.271396776130512,744
zone19,23.1522538367723,23.619860342205648,24.188645959259873,24.7518828321814,24.99980007431715,25.542875146315257,26.6480867632414,24.64480299709421,744
zone20,23.0445102976417,23.436098297881276,24.07240896609695,24.63145682977965,24.999561195330326,25.385935911222468,26.5105989688157,24.539498515214422,744
