day,mean,min,max,day_of_year
2022-01-01,0.12262916666666666,0.07005,0.19081,1
2022-01-02,0.13775041666666668,0.1098,0.2091,2
2022-01-03,0.15049833333333335,0.10036,0.18925999999999998,3
2022-01-04,0.15247333333333332,0.105,0.19,4
2022-01-05,0.18098791666666666,0.07911,0.25034,5
2022-01-06,0.2129791666666667,0.1701,0.27836,6
2022-01-07,0.21585583333333333,0.1628,0.26,7
2022-01-08,0.20431541666666667,0.16172999999999998,0.27002,8
2022-01-09,0.11982541666666667,0.014,0.24,9
2022-01-10,0.21726458333333332,0.15869999999999998,0.29498,10
2022-01-11,0.22316333333333335,0.193,0.26266,11
2022-01-12,0.20606833333333333,0.17833000000000002,0.26138,12
2022-01-13,0.215105,0.18288,0.26294999999999996,13
2022-01-14,0.20294708333333333,0.18030000000000002,0.23501,14
2022-01-15,0.21881833333333334,0.19304,0.26703,15
2022-01-16,0.21309625,0.1866,0.26536000000000004,16
2022-01-17,0.24466958333333333,0.20955000000000001,0.28568,17
2022-01-18,0.22272999999999998,0.19399,0.27222,18
2022-01-19,0.21316083333333333,0.17964,0.25981,19
2022-01-20,0.19063916666666667,0.16069,0.23937999999999998,20
2022-01-21,0.17908958333333333,0.15469999999999998,0.2147,21
2022-01-22,0.19041458333333336,0.1669,0.24527000000000002,22
2022-01-23,0.20134,0.17904,0.249,23
2022-01-24,0.22699875,0.17746,0.29733,24
2022-01-25,0.22423666666666667,0.19624,0.25636000000000003,25
2022-01-26,0.23677125,0.22501,0.25,26
2022-01-27,0.23250208333333333,0.21575,0.24900999999999998,27
2022-01-28,0.22458791666666666,0.19,0.25538,28
2022-01-29,0.223355,0.18197,0.26303,29
2022-01-30,0.23050458333333335,0.2065,0.26865,30
2022-01-31,0.22395458333333332,0.18416,0.26,31
2022-02-01,0.20654125,0.16997,0.253,32
2022-02-02,0.21017624999999998,0.16808,0.27009,33
2022-02-03,0.20789,0.17325,0.246,34
2022-02-04,0.19702624999999999,0.16659000000000002,0.23334,35
2022-02-05,0.19837249999999998,0.17047,0.2265,36
2022-02-06,0.1904675,0.17218,0.24643,37
2022-02-07,0.20646208333333335,0.16597,0.25361,38
2022-02-08,0.20369833333333331,0.17088,0.25,39
2022-02-09,0.21052458333333332,0.18259,0.25727999999999995,40
2022-02-10,0.20912541666666665,0.17485,0.24800999999999998,41
2022-02-11,0.19649291666666668,0.165,0.24118,42
2022-02-12,0.19893833333333333,0.16679,0.23155,43
2022-02-13,0.16538708333333332,0.07,0.22,44
2022-02-14,0.18332375,0.105,0.24871000000000001,45
2022-02-15,0.19994458333333334,0.16252,0.25079,46
2022-02-16,0.17813541666666666,0.13538999999999998,0.23673,47
2022-02-17,0.1683416666666667,0.1,0.26812,48
2022-02-18,0.18425625,0.14686000000000002,0.215,49
2022-02-19,0.13775791666666667,0.0772,0.20479,50
2022-02-20,0.16306291666666667,0.1286,0.225,51
2022-02-21,0.18637958333333335,0.142,0.237,52
2022-02-22,0.18052166666666666,0.14482,0.22169999999999998,53
2022-02-23,0.19586208333333333,0.16307,0.24408000000000002,54
2022-02-24,0.2056025,0.16371,0.23449,55
2022-02-25,0.24013125,0.15331999999999998,0.3,56
2022-02-26,0.2611120833333333,0.23714,0.30069999999999997,57
2022-02-27,0.2568375,0.20914,0.35,58
2022-02-28,0.277775,0.21897,0.346,59
2022-03-01,0.25865875,0.22097999999999998,0.31587,60
2022-03-02,0.25403041666666665,0.20415,0.305,61
2022-03-03,0.34106166666666665,0.26,0.3947,62
2022-03-04,0.3406954166666667,0.26461,0.41,63
2022-03-05,0.3665495833333334,0.311,0.4093,64
2022-03-06,0.37903125,0.33421,0.47001,65
2022-03-07,0.44253750000000003,0.37901999999999997,0.5,66
2022-03-08,0.5427791666666667,0.42488,0.651,67
2022-03-09,0.47297041666666667,0.35674,0.605,68
2022-03-10,0.36974749999999995,0.3195,0.45269,69
2022-03-11,0.28457875,0.1448,0.40397000000000005,70
2022-03-12,0.24605125000000003,0.19515000000000002,0.29291,71
2022-03-13,0.24855625,0.18931,0.38989999999999997,72
2022-03-14,0.2517041666666667,0.21447999999999998,0.295,73
2022-03-15,0.24966375,0.20979,0.31171,74
2022-03-16,0.26364708333333337,0.19154,0.3067,75
2022-03-17,0.21712541666666665,0.18449000000000002,0.29592,76
