zone,min_C,p05_C,q25_C,median_C,q75_C,p95_C,max_C,mean_C,std_C,count
zone1,17.7531282778355,18.68442163355218,20.96886656007815,22.909698458425197,24.716445055430523,25.50533352964822,26.5431127077116,22.556030739495963,2.2786454524388033,8760
zone2,16.3663069139517,17.18434997055467,18.537132359108,21.199151484813697,23.339857061479726,24.342737149901446,25.3385165058494,20.986797698471978,2.4993615787007206,8760
zone3,16.0418934791142,17.253325698557244,19.1593405896606,21.69398905291315,23.446098944735674,24.62714726962478,26.4589869866275,21.312998647688552,2.441565279038146,8760
zone4,15.5810883004558,17.00144395076666,19.53918296612195,21.333287187499998,22.961157024621325,24.213996181537805,25.7870288301478,21.12470357859875,2.257204633122522,8760
zone5,16.7988608279937,18.253053429089864,21.0560111505923,23.64082131432595,24.9889286523925,27.44308549260569,37.731972642933,23.195085567219884,3.0958240184327144,8760
zone6,18.0159970578508,19.57594389575595,22.884131208580925,25.2199439465808,27.39581193387635,37.534227198808644,46.7078044828411,25.91932709579779,5.018625276201108,8760
zone7,17.2338652879308,18.17466072789669,19.412826196148124,21.96348932550415,23.972529739994776,24.86874514162297,25.4362387779075,21.72879199918485,2.3533699538203208,8760
zone8,17.3354025057924,18.606387930011927,20.9183801128382,22.4144335282052,24.026334140788475,24.904356998876413,25.3785696358819,22.163639319485014,2.049870143584691,8760
zone9,17.3105838611021,18.719369277824683,21.124719270470177,23.480711880909098,24.795340325438,25.54977863833164,28.3474939571385,22.862162286192316,2.2671507402786073,8760
zone10,15.0735983553592,16.75474389774502,19.545446270736974,21.7390979315065,23.5893722845901,24.99989394204768,27.5270660187761,21.471252190777896,2.6224829186029495,8760
zone11,16.8899895576447,18.20676463720556,20.812634514541525,22.8979842150999,24.607745411410225,25.48777204181853,27.1577879786412,22.452504480152072,2.400770488651466,8760
zone12,14.33714638916,16.010535635202928,18.903584180899927,21.075471702630352,23.24124800362865,24.999627299521897,26.7333116203552,21.03645760840987,2.804031844081284,8760
zone13,17.0853593882397,18.00318048817159,19.439079698777473,21.845356228183398,23.520554861128424,24.45218635879545,25.4048923874887,21.51681144679865,2.1972814828508693,8760
zone14,24.9999195806158,25.000010156789088,25.000018771407973,25.0000222642672,25.000023219642102,25.000024087547484,25.0000268310967,25.000020243592495,4.488026462781517e-06,8760
zone15,17.5414353802198,18.490295428926217,19.7432499254816,22.31135985900875,24.261601827567826,25.146496786067843,25.7213691656993,22.03764405991628,2.338756590724423,8760
zone16,17.610518663228,18.839037367873132,20.99997873430505,22.6407533457412,24.2075797027141,24.99962540899109,25.4739248142583,22.35390141518282,2.032245626780846,8760
zone17,17.4574763821324,18.87664172255582,21.330391585300298,23.6248030371139,24.747890857093125,25.793166263446956,28.8823477769845,22.98864174589658,2.230364428278386,8760
zone18,16.49873161764,17.891212008215703,20.539962989568973,22.66691074154045,24.1502743095826,25.10537246881917,28.215881459097,22.18988177120564,2.372083269878199,8760
zone19,16.4101105413527,17.742541477830095,20.369766236112852,22.5135722569186,24.308051819015475,25.11738886610123,26.6672113124146,22.123965618058303,2.466536187156956,8760
zone20,16.165164961726,17.504520298478937,20.061528212802273,22.23500222582355,24.13465611900805,24.999984130022792,26.6596238089682,21.916281726451928,2.5116575928548484,8760
zone21,16.8408608363091,17.94131843549067,19.486155768952376,21.80189883958025,23.484486364673423,24.438958279052816,25.4064473450913,21.506309802193492,2.1883033535647245,8760
zone22,17.5982943123397,18.548334908008897,19.8373890062523,22.38711546628285,24.351635578187373,25.24549902478457,25.881124852921,22.1144851651314,2.344687690244396,8760
